L1,L2,L3,Descriptors,prediction 1533,variance 1533,ucb 1533
C1(C2=CC=CC=C2)=CC=NC3=C1C=CC4=C3N=CC=C4C5=CC=CC=C5,C1(C2=CC=CC=C2)=CC=NC3=C1C=CC4=C3N=CC=C4C5=CC=CC=C5,COC(C=C1)=CC=C1C2=NN(C3=NC=CC=C3)C(C4=CC=CC=C4)=C2,"[ 1.82423992e+00  1.11437402e+03  1.73467242e+01  1.41320315e+01
  1.41320315e+01  1.29158162e+01  8.68967912e+00  8.68967912e+00
  6.30697289e+00  6.30697289e+00  4.79081350e+00  4.79081350e+00
  3.56681762e+00  3.56681762e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.18058499e+01
  2.22538060e+01  0.00000000e+00  2.45264213e+01  8.27643619e+01
  0.00000000e+00  3.32131349e+02  4.23076923e-01  8.46153846e-01
  1.26923077e+00  0.00000000e+00 -3.52000000e+00  2.60000000e+01
  3.16278000e+02  2.26186316e+06  1.47920682e+01  6.08448822e+00
  2.35220050e+00  1.51348217e+02  4.66779778e+00  2.53914126e-01
  4.66779778e+00  9.70493030e-02  9.45957577e-01  9.70493030e-02
  9.45957577e-01 -2.53914126e-01  6.11700000e+00  1.07916000e+02
  3.32406000e+02  0.00000000e+00  2.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  3.00000000e+00  2.00000000e+00
  5.00000000e+00  2.00000000e+00  0.00000000e+00  2.00000000e+00
  0.00000000e+00  2.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.22000000e+02  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  9.96795704e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  7.27964048e+01  3.43865401e+01  2.31661356e+01  1.10334014e+01
  5.00000000e+00  0.00000000e+00  2.18058499e+01  0.00000000e+00
  9.96795704e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  9.73228261e+01  0.00000000e+00  2.22538060e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.96795704e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.73228261e+01
  0.00000000e+00  4.40596558e+01  0.00000000e+00  2.57800000e+01
  0.00000000e+00  0.00000000e+00  9.33559555e+00  2.25724385e+00
  6.64724504e+00  0.00000000e+00  2.93413101e+01  3.75193878e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  2.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  3.00000000e+00  0.00000000e+00  3.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.64069903e-01
  1.82423992e+00  1.11437402e+03  1.73467242e+01  1.41320315e+01
  1.41320315e+01  1.29158162e+01  8.68967912e+00  8.68967912e+00
  6.30697289e+00  6.30697289e+00  4.79081350e+00  4.79081350e+00
  3.56681762e+00  3.56681762e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.18058499e+01
  2.22538060e+01  0.00000000e+00  2.45264213e+01  8.27643619e+01
  0.00000000e+00  3.32131349e+02  4.23076923e-01  8.46153846e-01
  1.26923077e+00  0.00000000e+00 -3.52000000e+00  2.60000000e+01
  3.16278000e+02  2.26186316e+06  1.47920682e+01  6.08448822e+00
  2.35220050e+00  1.51348217e+02  4.66779778e+00  2.53914126e-01
  4.66779778e+00  9.70493030e-02  9.45957577e-01  9.70493030e-02
  9.45957577e-01 -2.53914126e-01  6.11700000e+00  1.07916000e+02
  3.32406000e+02  0.00000000e+00  2.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  3.00000000e+00  2.00000000e+00
  5.00000000e+00  2.00000000e+00  0.00000000e+00  2.00000000e+00
  0.00000000e+00  2.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.22000000e+02  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  9.96795704e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  7.27964048e+01  3.43865401e+01  2.31661356e+01  1.10334014e+01
  5.00000000e+00  0.00000000e+00  2.18058499e+01  0.00000000e+00
  9.96795704e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  9.73228261e+01  0.00000000e+00  2.22538060e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.96795704e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.73228261e+01
  0.00000000e+00  4.40596558e+01  0.00000000e+00  2.57800000e+01
  0.00000000e+00  0.00000000e+00  9.33559555e+00  2.25724385e+00
  6.64724504e+00  0.00000000e+00  2.93413101e+01  3.75193878e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  2.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  3.00000000e+00  0.00000000e+00  3.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.64069903e-01
  1.85603862e+00  9.04220903e+02  1.70622672e+01  1.38327928e+01
  1.38327928e+01  1.23476679e+01  8.06307473e+00  8.06307473e+00
  5.60908511e+00  5.60908511e+00  4.03098430e+00  4.03098430e+00
  2.75216525e+00  2.75216525e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.40821336e+01
  0.00000000e+00  1.33066411e+01  6.53454736e+01  2.31830797e+01
  9.83554476e+00  3.27137162e+02  8.00000000e-01  1.56000000e+00
  2.24000000e+00  4.76190476e-02 -3.40000000e+00  2.50000000e+01
  3.10251000e+02  1.22669312e+06  1.51466984e+01  6.61039126e+00
  3.01731443e+00  1.45908055e+02  5.23701319e+00  4.96767803e-01
  5.23701319e+00  1.53488053e-01  7.92698833e-01  1.53488053e-01
  7.92698833e-01 -4.96767803e-01  4.60990000e+00  9.87830000e+01
  3.27387000e+02  0.00000000e+00  4.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.00000000e+00  2.00000000e+00
  4.00000000e+00  4.00000000e+00  0.00000000e+00  4.00000000e+00
  0.00000000e+00  4.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.22000000e+02  4.73686295e+00  5.74951183e+00
  5.81786278e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  9.66578146e+00  5.09868181e+00  0.00000000e+00
  3.63982024e+01  4.24645695e+01  1.73237466e+01  1.84976535e+01
  4.00000000e+00  4.73686295e+00  0.00000000e+00  0.00000000e+00
  1.47644633e+01  0.00000000e+00  0.00000000e+00  7.10979754e+00
  8.50596155e+01  0.00000000e+00  3.40821336e+01  4.73686295e+00
  0.00000000e+00  5.74951183e+00  0.00000000e+00  2.18742608e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  8.50596155e+01
  0.00000000e+00  2.83326218e+01  0.00000000e+00  3.99400000e+01
  7.12084137e+00  0.00000000e+00  4.44999228e+00  4.79592167e+00
  4.03273539e+00  1.62250581e+00  2.60363838e+01  1.77662825e+00
  0.00000000e+00  1.66499145e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  3.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.49365555e-01]",5.251220939278914,5.3497951929697,8.026775852782945
C1(C2=NC=CC=C2)=NC=CC=C1,C1(C2=NC=CC=C2)=NC=CC=C1,O=[N+](C1=CC=C(C2=NN(C(C3=CC=CC=C3)=C2)C4=NC=CC=C4)C=C1)[O-],"[ 2.45714948e+00  3.05231590e+02  8.22576835e+00  6.51322934e+00
  6.51322934e+00  5.96632650e+00  3.79096164e+00  3.79096164e+00
  2.42995580e+00  2.42995580e+00  1.59221739e+00  1.59221739e+00
  1.02854901e+00  1.02854901e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.13878560e+01
  0.00000000e+00  1.23936871e+01  3.63982024e+01  9.96795704e+00
  0.00000000e+00  1.56068748e+02  6.66666667e-01  1.16666667e+00
  1.50000000e+00  0.00000000e+00 -1.70000000e+00  1.20000000e+01
  1.48124000e+02  1.02395273e+03  6.97663873e+00  3.13304807e+00
  1.32075308e+00  7.09277933e+01  4.18648148e+00  2.54621120e-01
  4.18648148e+00  8.85599799e-02  9.14907407e-01  8.85599799e-02
  9.14907407e-01 -2.54621120e-01  2.14360000e+00  4.74680000e+01
  1.56188000e+02  0.00000000e+00  2.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.00000000e+00
  2.00000000e+00  2.00000000e+00  0.00000000e+00  2.00000000e+00
  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  5.80000000e+01  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  9.96795704e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  1.21327341e+01  2.42654683e+01  1.23936871e+01  1.13878560e+01
  2.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  9.96795704e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  4.87918896e+01  0.00000000e+00  1.13878560e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.96795704e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.87918896e+01
  0.00000000e+00  1.13878560e+01  0.00000000e+00  2.57800000e+01
  0.00000000e+00  0.00000000e+00  8.37296296e+00  0.00000000e+00
  1.82981481e+00  0.00000000e+00  1.15948148e+01  3.53574074e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  2.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  6.31772953e-01
  2.45714948e+00  3.05231590e+02  8.22576835e+00  6.51322934e+00
  6.51322934e+00  5.96632650e+00  3.79096164e+00  3.79096164e+00
  2.42995580e+00  2.42995580e+00  1.59221739e+00  1.59221739e+00
  1.02854901e+00  1.02854901e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.13878560e+01
  0.00000000e+00  1.23936871e+01  3.63982024e+01  9.96795704e+00
  0.00000000e+00  1.56068748e+02  6.66666667e-01  1.16666667e+00
  1.50000000e+00  0.00000000e+00 -1.70000000e+00  1.20000000e+01
  1.48124000e+02  1.02395273e+03  6.97663873e+00  3.13304807e+00
  1.32075308e+00  7.09277933e+01  4.18648148e+00  2.54621120e-01
  4.18648148e+00  8.85599799e-02  9.14907407e-01  8.85599799e-02
  9.14907407e-01 -2.54621120e-01  2.14360000e+00  4.74680000e+01
  1.56188000e+02  0.00000000e+00  2.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.00000000e+00
  2.00000000e+00  2.00000000e+00  0.00000000e+00  2.00000000e+00
  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  5.80000000e+01  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  9.96795704e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  1.21327341e+01  2.42654683e+01  1.23936871e+01  1.13878560e+01
  2.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  9.96795704e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  4.87918896e+01  0.00000000e+00  1.13878560e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.96795704e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.87918896e+01
  0.00000000e+00  1.13878560e+01  0.00000000e+00  2.57800000e+01
  0.00000000e+00  0.00000000e+00  8.37296296e+00  0.00000000e+00
  1.82981481e+00  0.00000000e+00  1.15948148e+01  3.53574074e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  2.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  6.31772953e-01
  1.84580408e+00  9.85388464e+02  1.79325107e+01  1.36882547e+01
  1.36882547e+01  1.27203467e+01  8.03945746e+00  8.03945746e+00
  5.68456738e+00  5.68456738e+00  4.01908899e+00  4.01908899e+00
  2.74429283e+00  2.74429283e+00  4.92331105e+00  1.01143183e+01
  0.00000000e+00  5.68738627e+00  5.81786278e+00  2.25147590e+01
  1.21327341e+01  2.30113806e+01  5.45973036e+01  1.00826603e+01
  0.00000000e+00  3.42111676e+02  8.46153846e-01  1.57692308e+00
  2.23076923e+00  0.00000000e+00 -3.80000000e+00  2.60000000e+01
  3.28246000e+02  1.73493000e+06  1.57117158e+01  6.60117823e+00
  2.95492453e+00  1.49082543e+02  1.08545332e+01  2.68967488e-01
  1.08545332e+01  2.68967488e-01  5.66588305e-02  2.58309634e-01
 -4.11043451e-01 -2.58309634e-01  4.50950000e+00  9.88854000e+01
  3.42358000e+02  0.00000000e+00  6.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.00000000e+00  2.00000000e+00
  4.00000000e+00  5.00000000e+00  0.00000000e+00  6.00000000e+00
  0.00000000e+00  4.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.26000000e+02  0.00000000e+00  0.00000000e+00
  5.81786278e+00  0.00000000e+00  5.68738627e+00  0.00000000e+00
  1.01143183e+01  9.66578146e+00  5.09868181e+00  0.00000000e+00
  3.63982024e+01  3.03318353e+01  2.94564807e+01  1.63111670e+01
  4.00000000e+00  4.92331105e+00  5.68738627e+00  0.00000000e+00
  1.47644633e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00
  9.51739337e+01  0.00000000e+00  2.83326218e+01  0.00000000e+00
  5.68738627e+00  0.00000000e+00  0.00000000e+00  1.96877743e+01
  0.00000000e+00  1.01143183e+01  0.00000000e+00  8.50596155e+01
  0.00000000e+00  2.83326218e+01  0.00000000e+00  7.38500000e+01
  1.78380889e+00  0.00000000e+00  1.48341019e+01  1.55404422e+01
  3.50419017e+00  7.07884018e-01  2.39099924e+01  1.71958050e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  4.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.03878575e-01]",4.20600754006863,4.98351627959837,6.88486241531321
