L1,L2,L3
Cc1ccnc(-c2cc(C)ccn2)c1,Cc1ccnc(-c2cc(C)ccn2)c1,CCOc1cc(C=Nn2c(-c3cc(C(C)C)c(OC)cc3C)nc3ccccc3c2=O)ccc1OCc1ccc(F)cc1
Cc1ccc2ccc3ccc(C)nc3c2n1,Cc1ccc2ccc3ccc(C)nc3c2n1,COc1cc(C)c(-c2nc3ccccc3c(=O)n2N=Cc2ccc(OCC(=O)Nc3cccc(F)c3)c(Cl)c2)cc1C(C)C
c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,COCCCOc1cnc(Nc2ccc(-c3nn[nH]n3)cn2)c(Oc2ccc(F)cc2F)c1
c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,Cc1nc(-c2ccc(O)c(C)n2)ccc1O
c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,CC(C)(C)c1c(Br)cnc2c(O)cccc12
c1ccc(-c2ccccn2)nc1,c1ccc(-c2ccccn2)nc1,COc1cc(C)c(-c2nc3ccccc3c(=O)n2N=Cc2cc(Cl)ccc2OCC(=O)Nc2ccc(Cl)cc2)cc1C(C)C
c1ccc(-c2ccccn2)nc1,c1ccc(-c2ccccn2)nc1,c1ccc(-c2ccc(-c3ccc4c5c(ccc4c3)-c3c(ccc4ccccc34)C53c4ccccc4-c4ccccc43)cn2)nc1
c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,COc1cc(C=Nn2c(-c3ccc(Cl)cc3Cl)nc3ccccc3c2=O)ccc1OC(=O)c1ccc(Cl)cc1Cl
c1ccc(-c2ccccn2)nc1,c1ccc(-c2ccccn2)nc1,O[C@H]1CNCC[C@H]1Nc1nc(-c2ccnc(Nc3ncccc3F)c2)nc2cncc(C3CC3)c12
c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,CCOc1cc(C=Nn2c(-c3cccc(C(F)(F)F)c3)nc3ccccc3c2=O)c(Br)cc1OCc1ccc([N+](=O)[O-])cc1
Cc1ccnc(-c2cc(C)ccn2)c1,Cc1ccnc(-c2cc(C)ccn2)c1,Cc1ccnc(-c2cc(C(=N)N)ccn2)c1
Cc1ccnc(-c2cc(C)ccn2)c1,Cc1ccnc(-c2cc(C)ccn2)c1,NC1CN(c2nc(-c3ccnc(Nc4ncc(F)cc4F)c3)nc3cncc(C4CC4)c23)CCC1F
c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,CCCSc1ccc(O)c2ncccc12
c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,Cc1cccnc1Nc1cc(CCC2CCN(S(=O)(=O)N(C)C)CC2)ccn1
c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,N#C[C@@]1(C2CC2)CCN(c2ccnc(Nc3ccc(C4CCNCC4)cn3)c2)C1=O
c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,N=N/N=C(\N)c1ccc(Nc2ncc(Sc3ncn[nH]3)cc2Oc2ccc(F)cc2)nc1
Cc1ccc2ccc3ccc(C)nc3c2n1,Cc1ccc2ccc3ccc(C)nc3c2n1,COc1cc(C=Nn2c(-c3ccccc3)nc3ccccc3c2=O)cc(Br)c1OCc1ccc(Br)cc1
c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,O=c1c2cc(Br)cc(Br)c2nc(-c2ccccc2)n1/N=C/c1cccc([N+](=O)[O-])c1
Cc1ccnc(-c2cc(C)ccn2)c1,Cc1ccnc(-c2cc(C)ccn2)c1,C[C@@H](Oc1ccc(C=Nn2c(-c3ccccc3)nc3ccccc3c2=O)cc1[N+](=O)[O-])C(=O)O
c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,CCOc1cc(C)c(-c2nc3ccccc3c(=O)n2N=Cc2cc(I)c(OCc3ccccc3Cl)c(I)c2)cc1C(C)C
Cc1ccnc(-c2cc(C)ccn2)c1,Cc1ccnc(-c2cc(C)ccn2)c1,c1ccc(-c2cc(-c3nc4c(cnc5c4ccc4cccnc45)c4ccccc34)cc(-c3ccccn3)n2)nc1
c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,CCOc1cc(C=Nn2c(-c3cc(C(C)C)c(OC)cc3C)nc3ccccc3c2=O)cc(Cl)c1OCc1ccc(Br)cc1Br
c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,Cc1ccnc(-c2cc(CN3CCOCCOCCOCCOCCOCC3)ccn2)c1
c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,Oc1ccc(Br)c2cc(Br)cnc12
c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,Cn1c2ccccc2c2cc(N(c3ncccc3C(C)(C)O)c3ncccc3C(C)(C)O)ccc21
c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,O=[N+](O)c1ccc(O)c(C=Nc2ccnc(-c3cc(N=Cc4cc([N+](=O)O)ccc4O)ccn3)c2)c1
c1ccc(-c2ccccn2)nc1,c1ccc(-c2ccccn2)nc1,Clc1ccc(C(Nc2ccc(-c3ccccn3)nc2)=C2CCC2)cc1
c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,Cc1ccnc(-c2cc(C(=O)NC(CS(C)(=O)=O)C(=O)NCCCCC(=O)ON3C(=O)CCC3=O)ccn2)c1
c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,CC(C)(O)[C@H](F)CNC(=O)c1cnc(Nc2ncc(C#N)cc2Cl)cc1Nc1ccc2ncsc2c1
Cc1ccc2ccc3ccc(C)nc3c2n1,Cc1ccc2ccc3ccc(C)nc3c2n1,CCOC(=O)COc1c(OC)cc(C=Nn2c(-c3cc(C(C)C)c(OCC)cc3C)nc3ccccc3c2=O)c(Br)c1Cl
Cc1ccc2ccc3ccc(C)nc3c2n1,Cc1ccc2ccc3ccc(C)nc3c2n1,O=c1c2ccccc2nc(-c2ccccc2)n1N=Cc1cc(Cl)cc(Cl)c1
Cc1ccc2ccc3ccc(C)nc3c2n1,Cc1ccc2ccc3ccc(C)nc3c2n1,O=C(O)c1ccccc1Cc1ccnc(-c2cc(Cc3ccccc3C(=O)O)ccn2)c1
Cc1ccnc(-c2cc(C)ccn2)c1,Cc1ccnc(-c2cc(C)ccn2)c1,COc1cc(/C=C/c2cc[n+](CCN)c(-c3cc(C)ccn3)c2)cc(O)c1O
c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,C[C@@H](Oc1cc(N(C)C)ccc1C=Nn1c(-c2cccc(C(F)(F)F)c2)nc2ccccc2c1=O)C(=O)O
c1ccc(-c2ccccn2)nc1,c1ccc(-c2ccccn2)nc1,CCOc1cc(C)c(-c2nc3ccccc3c(=O)n2N=Cc2cc(Cl)c(O[C@@H](C)CC)c(Br)c2)cc1C(C)C
c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,CC(C)(C)OC(=O)NCCNC(=O)c1ccnc(-c2cc(C(=O)O)ccn2)c1
Cc1ccnc(-c2cc(C)ccn2)c1,Cc1ccnc(-c2cc(C)ccn2)c1,CCOc1cc(C)c(-c2nc3ccccc3c(=O)n2N=Cc2cc(Br)c(Oc3ccc([N+](=O)[O-])cn3)c(Br)c2)cc1C(C)C
c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,COc1cc(C)c(-c2nc3ccccc3c(=O)n2N=Cc2cc([N+](=O)[O-])ccc2OCc2ccc(Cl)c(Cl)c2)cc1C(C)C
c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,C[C@@]12[C@H]3[C@H]4C[C@H]([C@@H]5[C@@H]6CC[C@@H]([C@@H](CO)[C@@H]6CO)[C@H]45)[C@H]3[C@]1(C)[C@@H]1[C@H]2[C@@H]2C[C@H]1c1cc3nc4c5cccnc5c5ncccc5c4nc3cc12
c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,CCOc1cc(C=Nn2c(-c3ccccc3)nc3ccccc3c2=O)c(Br)c(Br)c1OCC(=O)OC
c1ccc(-c2ccccn2)nc1,c1ccc(-c2ccccn2)nc1,Cc1ccc(NC(=O)COc2ccc(C=Nn3c(-c4cccc(C(F)(F)F)c4)nc4ccccc4c3=O)cc2Br)cc1
c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,C=CCc1cc(C=Nn2c(-c3ccccc3)nc3ccccc3c2=O)cc(OCC)c1OCC(N)=O
c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,COc1cc(C)c(-c2nc3ccccc3c(=O)n2N=Cc2cccc(OCc3cccc4ccccc34)c2)cc1C(C)C
c1ccc(-c2ccccn2)nc1,c1ccc(-c2ccccn2)nc1,CC1(O)CCN(C(=O)c2ccc(Nc3cc(N4CC[C@@](C#N)(C5CC5)C4=O)ccn3)nc2)CC1
c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,Nc1ccc(-c2ccnc(-c3cc(-c4ccc(N)s4)cc[nH+]3)c2)s1
Cc1ccnc(-c2cc(C)ccn2)c1,Cc1ccnc(-c2cc(C)ccn2)c1,CCS(=O)(=O)c1cccnc1-c1ccc(-c2cc(C)cc(C)c2)cn1
c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,C=CCCOc1cccc(/C=N/n2c(-c3ccccc3)nc3ccccc3c2=O)c1
Cc1ccnc(-c2cc(C)ccn2)c1,Cc1ccnc(-c2cc(C)ccn2)c1,N#C[C@@]1(C2CC2)CCN(c2ccnc(Nc3cc(N4CC[C@@](C#N)(C5CC5)C4=O)ccn3)c2)C1=O
c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,CCOC(=O)NCc1ccc(-c2ccccn2)nc1
c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,CCOc1cc(C=Nn2c(-c3ccccc3)nc3ccccc3c2=O)ccc1OC(=O)/C=C/c1cccc([N+](=O)[O-])c1
c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,CCO[Si](CCCN(c1ccccn1)c1ccccn1)(OCC)OCC
Cc1ccnc(-c2cc(C)ccn2)c1,Cc1ccnc(-c2cc(C)ccn2)c1,Oc1ccc(N=Nc2cccnc2)c2cccnc12
Cc1ccnc(-c2cc(C)ccn2)c1,Cc1ccnc(-c2cc(C)ccn2)c1,CCOc1cccc(C=Nn2c(-c3cccc(C(F)(F)F)c3)nc3ccccc3c2=O)c1
c1ccc(-c2ccccn2)nc1,c1ccc(-c2ccccn2)nc1,Cc1ccnc(Nc2ncc(-c3cccc(Cc4ccn5c(=N)c6cc(-c7ccccc7)cnc6nc5c4)c3)cc2C#N)c1
Cc1ccc2ccc3ccc(C)nc3c2n1,Cc1ccc2ccc3ccc(C)nc3c2n1,Cc1cc(Cl)ccc1N=Nc1ccc(O)c2ncccc12
Cc1ccc2ccc3ccc(C)nc3c2n1,Cc1ccc2ccc3ccc(C)nc3c2n1,c1ccc(-c2ccc(-c3ccc4cnccc4c3)cn2)nc1
c1ccc(-c2ccccn2)nc1,c1ccc(-c2ccccn2)nc1,N#C[C@@]1(C2CC2)CCN(c2ccnc(Nc3ccc(C4(C(N)=O)CCCC4)cn3)c2)C1=O
Cc1ccc2ccc3ccc(C)nc3c2n1,Cc1ccc2ccc3ccc(C)nc3c2n1,O=C(c1ccc(Oc2ccccc2)cc1)N1CCN(C(=O)c2ccc(-c3ccccn3)nc2)CC1
c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,COc1cc(C=Nn2c(-c3ccccc3)nc3ccccc3c2=O)cc(Br)c1OCc1ccccc1C#N
c1ccc(-c2ccccn2)nc1,c1ccc(-c2ccccn2)nc1,CCOc1cc(C)c(-c2nc3ccccc3c(=O)n2N=Cc2cc([N+](=O)[O-])ccc2OCC(=O)Nc2ccc(C)cc2)cc1C(C)C
Cc1ccnc(-c2cc(C)ccn2)c1,Cc1ccnc(-c2cc(C)ccn2)c1,O=P(O)(O)c1cccnc1-c1ncccc1-c1ccccn1
c1ccc(-c2ccccn2)nc1,c1ccc(-c2ccccn2)nc1,COc1cc(C)c(-c2nc3ccccc3c(=O)n2N=Cc2cc(Cl)c(OCC(=O)Nc3cccc(F)c3)c(Cl)c2)cc1C(C)C
c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,N#Cc1ccc(-c2ccc(OCCCCCCCCCCCOc3ccc(-c4nc5c6cccnc6c6ncccc6c5[nH]4)cc3)cc2)cc1
c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,COc1cc(C)c(-c2nc3ccccc3c(=O)n2N=Cc2ccc(OC(C)C)c([N+](=O)[O-])c2)cc1C(C)C
c1ccc(-c2ccccn2)nc1,c1ccc(-c2ccccn2)nc1,COc1cc(C)c(-c2nc3ccccc3c(=O)n2N=Cc2cc(Cl)c(OCC(=O)Nc3ccc(C)cc3)c(Cl)c2)cc1C(C)C
Cc1ccc2ccc3ccc(C)nc3c2n1,Cc1ccc2ccc3ccc(C)nc3c2n1,c1ccc(Nc2cc(-c3ccc4ncccc4c3)ccn2)nc1
c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,Cc1ccc(-c2ccc(CCS(=O)(=O)[O-])cn2)nc1
c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,COCCCSc1cnc(Nc2ccc(/C(N)=N/N)cn2)c(Oc2ccc(F)c(F)c2)c1
c1ccc(-c2ccccn2)nc1,c1ccc(-c2ccccn2)nc1,Oc1ccc(-c2cc(O)c3ncccc3c2)cc1
c1ccc(-c2ccccn2)nc1,c1ccc(-c2ccccn2)nc1,c1ccc2nc3c4ccc[n+]5c4c4c(ccc[n+]4C5)c3nc2c1
c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,COc1cc(C=Nn2c(-c3ccccc3)nc3ccccc3c2=O)ccc1OC(=O)c1ccc(Br)cc1
c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,Cc1cc2ncn(Cc3ccc(O)c4ncccc34)c2cc1C
Cc1ccnc(-c2cc(C)ccn2)c1,Cc1ccnc(-c2cc(C)ccn2)c1,COC(=O)COc1ccc(C=Nn2c(-c3cc(C(C)C)c(OC)cc3C)nc3ccccc3c2=O)cc1OC
c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,CCOc1cc(C=Nn2c(-c3cc(C(C)C)c(OC)cc3C)nc3ccccc3c2=O)cc([N+](=O)[O-])c1OCC(=O)Nc1cccc(F)c1
c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,CCOc1cc(C)c(-c2nc3ccccc3c(=O)n2N=Cc2cccc([N+](=O)[O-])c2OCC(=O)Nc2ccccc2F)cc1C(C)C
c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,CCOc1cc(C)c(-c2nc3ccccc3c(=O)n2N=Cc2cc(I)c(OCc3cccc(C)c3)c(OC)c2)cc1C(C)C
Cc1ccnc(-c2cc(C)ccn2)c1,Cc1ccnc(-c2cc(C)ccn2)c1,O=C(NCCN1CCCCC1)c1ccnc(-c2ccccn2)c1
c1ccc(-c2ccccn2)nc1,c1ccc(-c2ccccn2)nc1,Cc1ccc(-c2c3ccccc3c(-c3ccc4cc(-c5ccc(-c6ccccn6)nc5)ccc4c3)c3ccccc23)cc1
c1ccc(-c2ccccn2)nc1,c1ccc(-c2ccccn2)nc1,NCc1ccc(-c2cc(N)ccn2)nc1
Cc1ccc2ccc3ccc(C)nc3c2n1,Cc1ccc2ccc3ccc(C)nc3c2n1,O=C(NO)c1ccc(CN(c2ccccn2)c2cc(-c3ccn[nH]3)ccn2)cc1
c1ccc(-c2ccccn2)nc1,c1ccc(-c2ccccn2)nc1,O[C@H]1CNCC[C@H]1Nc1nc(-c2ccnc(Nc3ncc(F)cc3F)c2)nc2cncc(C3CCC3)c12
Cc1ccc2ccc3ccc(C)nc3c2n1,Cc1ccc2ccc3ccc(C)nc3c2n1,O=C(O)C(Cc1cccnc1-c1ccccn1)C(=O)O
