UMAP1,UMAP2,Dataset
-2.8766341,16.235304,t
-2.8770626,16.235199,t
-12.334668,1.2340262,t
-12.335019,1.2343615,t
-1.190903,-9.669201,t
-12.338143,1.2318383,t
-12.334914,1.234255,t
-12.335431,1.2340754,t
-12.33586,1.2334448,t
-12.337863,1.2320169,t
-12.335394,1.2338874,t
-12.336451,1.2332774,t
-2.8767588,16.234982,t
-12.337894,1.2319562,t
-12.335919,1.2330115,t
-12.335486,1.2342983,t
-12.335291,1.2343559,t
-12.335619,1.2341816,t
-12.334962,1.2341692,t
-12.3381,1.2315857,t
15.138384,6.0993214,t
15.147045,6.107541,t
15.145534,6.105982,t
15.140905,6.1016955,t
15.138284,6.0991063,t
15.138226,6.0991178,t
15.174894,6.134705,t
15.1487465,6.10926,t
15.13672,6.09714,t
15.137317,6.0972414,t
15.139157,6.0999084,t
15.139619,6.1006618,t
15.14008,6.0981784,t
-12.342434,1.2297282,t
-12.341809,1.2301244,t
-12.339447,1.2311815,t
-12.343118,1.2298945,t
-2.8765974,16.23511,t
-12.335241,1.233963,t
5.813669,5.5651665,t
-6.2192183,14.468338,t
-6.219638,14.467982,t
-6.219817,14.468123,t
-6.219824,14.467453,t
-6.2198977,14.468279,t
-6.220113,14.467829,t
-6.2200212,14.46825,t
-6.22011,14.468219,t
-6.2203565,14.466799,t
-6.2203856,14.467189,t
-6.220045,14.468171,t
-6.220031,14.468063,t
3.6127396,4.1512237,t
-7.7470555,2.9054995,t
8.779545,-2.8907323,t
13.336021,5.015261,t
-3.489982,-0.38495597,t
8.784556,-2.8986611,t
-2.337273,2.486153,t
13.333332,5.004236,t
-4.2951674,0.5147868,t
13.241028,4.938488,t
13.338781,5.007604,t
-2.876914,16.234928,t
-2.876864,16.234678,t
-9.946351,10.384284,t
-6.9880104,13.447452,t
-9.946288,10.385882,t
-1.1910534,-9.668919,t
-6.9889555,13.446101,t
-6.9875503,13.448269,t
-7.0082603,13.426963,t
-9.944458,10.3889475,t
-9.944815,10.388493,t
-9.946242,10.387215,t
-6.9891634,13.446624,t
-9.943782,10.3904505,t
-9.945,10.388661,t
8.777864,-2.8848507,t
-6.986942,13.449208,t
-9.94338,10.388982,t
-9.946355,10.386604,t
-9.946731,10.385995,t
-9.946712,10.3859005,t
-9.94664,10.386518,t
-9.94636,10.387233,t
-9.946775,10.386992,t
-9.9458,10.387338,t
-9.9453,10.388001,t
-9.945416,10.387824,t
-9.945484,10.387995,t
-6.9862223,13.449253,t
-9.944688,10.3890085,t
-6.9723806,13.4558935,t
-6.973364,13.456422,t
-9.943679,10.3892,t
-3.8722925,15.565061,t
-9.944707,10.389476,t
-9.945257,10.388772,t
-6.978794,13.455814,t
-6.978442,13.453645,t
-9.944698,10.389843,t
-6.9858475,13.449638,t
-9.948263,10.383481,t
-9.947939,10.384193,t
-9.948111,10.38389,t
-9.94732,10.3870325,t
13.33829,4.9979043,t
13.243433,4.9407516,t
0.03300327,2.8446329,t
13.338722,5.004355,t
-9.334664,-4.421862,t
13.332947,4.9942703,t
0.987594,2.7804904,t
13.338039,5.003785,t
13.336548,5.0065103,t
-9.556171,-2.3106163,t
-0.64757067,3.983723,t
13.245652,4.941431,t
3.8311644,4.4424257,t
-3.9016778,-9.800205,t
-3.8713026,15.565106,t
-12.3353615,1.2339993,t
-12.342631,1.22975,t
0.66121346,3.1833298,t
-3.6192226,-0.013549283,t
-3.6260517,0.010497006,t
6.3721366,-9.845718,t
6.0651374,5.400211,t
-3.4905298,-0.45469737,t
13.3348055,5.0137577,t
5.9063773,5.644927,t
-0.07712712,8.005573,t
13.330921,4.9981327,t
-3.6632762,-0.06671705,t
4.070223,3.4991798,t
13.333718,4.9918475,t
5.735886,5.4688253,t
3.6544697,3.9495442,t
-3.4527318,-0.44133726,t
0.8541007,3.353291,t
7.9561524,3.7952938,t
6.1110473,7.045753,t
-3.2990847,-0.2936384,t
6.1092715,7.051903,t
6.117492,7.149658,t
-3.3365314,-0.33620593,t
7.7146535,-2.6442,t
6.5334597,-3.5158155,t
-1.1911559,-9.668951,t
-1.1913307,-9.66892,t
6.071526,5.6868973,t
-3.5190213,-0.019350972,t
4.948112,4.1172523,t
-3.3849218,-0.4223703,t
5.7280183,5.5294976,t
6.3719087,-9.845539,t
-3.5693038,-0.057820164,t
7.049923,6.0360856,t
-10.632294,-1.252797,t
7.05013,6.035818,t
-10.632594,-1.252618,t
-0.08047173,2.5280898,t
-5.32204,-5.9863706,t
-6.1803846,-3.1560109,t
-5.318505,-5.982848,t
-6.2006006,-3.171943,t
-5.3214,-5.9917088,t
-6.181528,-3.1554832,t
-5.3207464,-5.9886804,t
-6.1920967,-3.179652,t
-9.335218,-4.4222274,t
0.91883034,3.46895,t
-5.3062906,-6.0004287,t
-6.209246,-3.1277816,t
