UMAP1,UMAP2,Dataset
-0.17316467,-7.6190743,g
7.865872,-9.787311,g
-6.358255,-2.13053,g
6.8356194,5.562316,g
3.3580592,9.651364,g
5.083322,3.5640895,g
0.21662176,11.186807,g
7.8873405,5.404796,g
11.400541,-2.9483666,g
3.5440044,-6.793127,g
0.6572259,-3.0723007,g
6.741074,-6.9882545,g
-1.5075318,-6.2647824,g
-2.7728364,-2.3796573,g
-8.955008,6.4791675,g
8.455729,0.5796256,g
-4.1910634,0.8986716,g
-1.0871106,-8.675047,g
-1.9964131,-1.46482,g
1.7730048,-2.6393867,g
-5.3565965,-1.5894772,g
-6.6124163,4.828513,g
-4.2874184,-1.7609518,g
3.5844355,-2.8514292,g
7.838698,2.0947068,g
1.7004567,2.5907583,g
11.719005,-1.7768697,g
-5.791986,2.9078085,g
0.4564635,-8.804142,g
-6.894754,-6.916728,g
6.598504,-4.9465184,g
7.0762053,1.9927354,g
-4.328181,-3.8627899,g
-0.32340306,-2.024643,g
9.781856,3.9945154,g
1.4041454,1.4705954,g
0.81951475,5.1203623,g
0.83197653,9.323222,g
-2.0635731,-7.59652,g
0.0071608955,-11.1523905,g
1.4877964,1.5186812,g
0.6926998,-10.488749,g
11.56611,-1.5128171,g
4.3107467,7.760321,g
-2.1142325,-1.4752975,g
2.5389683,-11.960126,g
11.375264,-2.916473,g
1.5082417,-0.62022793,g
-9.191846,5.4190474,g
5.266592,6.780388,g
7.0502825,1.2358571,g
5.8005466,-1.3427091,g
-0.44596228,-9.026103,g
-7.9471684,2.6632848,g
-6.608964,1.0933769,g
-8.596919,4.1579437,g
-0.8433821,-2.6616337,g
7.5356174,0.05000846,g
-7.082597,5.4811716,g
1.040281,-0.2148732,g
-1.38457,-6.8262362,g
3.2964306,-3.2210329,g
-9.555665,2.1211913,g
-5.7073174,-1.3256614,g
-10.917382,0.7571347,g
1.7726462,3.4782267,g
-7.4346685,-6.2331977,g
3.3677628,3.5440466,g
-5.6292305,0.21966723,g
12.254685,-0.56349546,g
-4.320125,-2.250957,g
-3.1625097,-5.943096,g
6.179494,-8.088174,g
6.9015493,-3.3774624,g
-13.398334,-0.43889832,g
-4.4095173,1.7382128,g
-1.3029459,1.3511975,g
-1.8021455,-9.8751955,g
-5.474238,-4.103135,g
-6.668746,-2.4317076,g
-1.7035488,-0.5572176,g
11.087012,-5.916216,g
-2.0868201,11.058219,g
7.9800215,5.475896,g
-1.6589445,7.3227797,g
4.5058236,10.51718,g
-0.3165279,-3.091972,g
-6.3636475,2.551595,g
-2.1561413,3.376588,g
1.639995,7.268541,g
-4.7202773,-0.45251468,g
2.8656106,3.6516306,g
5.1396236,5.9260116,g
3.7859664,8.156382,g
4.1718836,2.1631389,g
-2.0326827,-9.400514,g
-6.2482085,9.554819,g
2.3203065,2.7392378,g
7.227815,-6.0361795,g
2.7619314,9.198125,g
6.3328886,-7.4882355,g
-1.6080656,-5.8690057,g
-1.7425625,-4.8749647,g
-5.261509,2.7117217,g
-5.306871,-5.1519947,g
-2.715831,3.917376,g
-4.7276287,0.6981306,g
1.4934262,-0.5848279,g
-4.9169064,7.3937144,g
-3.7130053,-6.2376623,g
3.1395106,-1.6435131,g
-3.8490775,-12.521518,g
-2.7518315,-2.9111035,g
-0.019979572,4.782465,g
4.1133494,-6.057237,g
10.215176,-1.7719026,g
10.0556555,-5.000418,g
0.8518705,-0.63885635,g
2.5260718,0.66267794,g
-1.4956177,6.121571,g
-12.45748,-2.3389902,g
-4.168765,5.999649,g
10.212747,-1.6291364,g
1.5898201,-0.38543698,g
-0.4375821,-0.52634495,g
5.640752,5.2013326,g
-9.798467,-5.0961027,g
7.575483,2.4021583,g
3.0326307,7.2836633,g
6.571819,2.19044,g
2.8935115,3.4290962,g
5.3819504,-9.301491,g
7.7416596,-9.628224,g
1.1323487,1.2179002,g
2.50192,-6.7483644,g
8.822293,5.151806,g
-8.043667,-8.083308,g
-7.672301,6.4428687,g
-3.4016528,0.09110662,g
-10.103603,5.0868735,g
-3.4959643,-3.1137505,g
2.5322018,1.7060169,g
-6.006766,-3.2727349,g
5.056768,0.684082,g
7.2591095,4.1256433,g
-2.768598,-0.88631666,g
-7.8732514,6.56388,g
-0.3284572,1.0458283,g
1.0560956,-5.810252,g
-8.043347,4.2502193,g
-3.7870212,3.4031708,g
0.90891933,7.9119425,g
3.6426022,3.0718555,g
1.1324873,-2.8666024,g
-1.1722982,-0.761184,g
-2.463106,-1.5393355,g
-2.5013921,-10.044562,g
0.4534077,-1.8018177,g
-6.243026,-7.736381,g
6.5564227,1.9874499,g
0.9889859,2.8990202,g
-0.80985224,4.681025,g
1.8179294,3.6342018,g
-1.6096715,-1.5329288,g
10.205942,-4.6077056,g
-2.4658315,3.967147,g
-3.6776536,5.8295393,g
7.676809,-4.1593795,g
0.11905898,-2.2192864,g
9.725646,-1.3742124,g
5.804192,5.196347,g
1.2644498,2.096763,g
0.964465,-1.7488673,g
2.3634422,6.2963133,g
-2.1859922,-3.8744683,g
1.6217301,-4.1626363,g
3.388574,-3.9545012,g
7.405829,-2.8116372,g
7.4368954,4.8909774,g
-1.4903604,2.5728512,g
7.40214,-2.8134997,g
-5.1929717,-1.2828246,g
3.1380172,-5.473816,g
10.825756,-5.1211767,g
-0.75170326,-10.314713,g
-4.0290008,-1.1294005,g
-6.574896,5.704165,g
4.7754827,0.22065641,g
1.7983519,-8.523599,g
0.65118057,-3.9708226,g
-8.297584,-0.85368633,g
-2.2551332,0.48885238,g
7.4510293,9.153697,g
4.2475543,-7.0478325,g
-12.892427,-2.2341714,g
-3.3646557,-7.4310207,g
1.184899,-4.4105334,g
-2.976946,3.8196585,g
-0.35425264,-4.9818487,g
1.6371703,-1.5378449,g
1.0139992,-0.30529806,g
-2.005735,0.261938,g
-3.9513552,10.002095,g
-3.9742005,-2.1702523,g
-10.010908,0.13358165,g
-7.624139,-3.0715754,g
-3.9954624,-0.78132445,g
6.4369974,-5.5898876,g
0.35440618,-2.899408,g
7.553837,2.4026184,g
1.403748,3.1071427,g
-1.3549021,10.757292,g
-1.5445385,0.21264033,g
7.1648865,-1.6125491,g
-5.5319047,2.3310175,g
4.2590895,6.5483775,g
10.275402,2.8042877,g
5.2233577,-9.810342,g
